direction,mode,seed,checkpoint_file,checkpoint_sha256,test_manifest_sha256,n_sessions
MMPD_UBFC,none,42,MMPD_UBFC_none_S42_Epoch29.pth,36804dd8093c44bfd808589165c4484888555d175af1f82218df4d88f36d739e,12b206dc0150e32d4386fe1e618d27cc3034041b5896c71fb10b5c1a430317a0,42
MMPD_UBFC,none,100,MMPD_UBFC_none_S100_Epoch29.pth,416bb777dfce424e2298989d311b3736c34d87edc0d022d160b16b8ae02d3169,12b206dc0150e32d4386fe1e618d27cc3034041b5896c71fb10b5c1a430317a0,42
MMPD_UBFC,none,202,MMPD_UBFC_none_S202_Epoch29.pth,e8770b289a55115d6a4c0fa30b78aeaad3b22e884bb81b998798ec9d4e139ac2,12b206dc0150e32d4386fe1e618d27cc3034041b5896c71fb10b5c1a430317a0,42
MMPD_UBFC,osc_real,42,MMPD_UBFC_osc_real_S42_Epoch29.pth,9bc69ec7d76bff08dc1a69d2ac624529c1b7af9f53a1678b188bbe7a703e24ae,12b206dc0150e32d4386fe1e618d27cc3034041b5896c71fb10b5c1a430317a0,42
MMPD_UBFC,osc_real,100,MMPD_UBFC_osc_real_S100_Epoch29.pth,2c99f6d86b15d0a0a0a53ad9d6da1a442e9409d4ec164d1571e5fc8a82db9e8f,12b206dc0150e32d4386fe1e618d27cc3034041b5896c71fb10b5c1a430317a0,42
MMPD_UBFC,osc_real,202,MMPD_UBFC_osc_real_S202_Epoch29.pth,27bc708caf45bcf57f2a0cd91d9cd1afec80fc22ab20eb81c8a4f261b853938f,12b206dc0150e32d4386fe1e618d27cc3034041b5896c71fb10b5c1a430317a0,42
PURE_UBFC,none,42,PURE_UBFC_none_S42_Epoch29.pth,283ccd81575eb45230a9d275a794935503856c9020337dac7448caf8312886e7,12b206dc0150e32d4386fe1e618d27cc3034041b5896c71fb10b5c1a430317a0,42
PURE_UBFC,none,100,PURE_UBFC_none_S100_Epoch29.pth,12558be47777b0af1febed708986d59fce1efff9f9fd6933cc6fcf9394e177f8,12b206dc0150e32d4386fe1e618d27cc3034041b5896c71fb10b5c1a430317a0,42
PURE_UBFC,none,202,PURE_UBFC_none_S202_Epoch29.pth,2e7a15f411cbe1b6f5d32fdd989b460b1e0e080cdfe38747f6282bf3433ca1bb,12b206dc0150e32d4386fe1e618d27cc3034041b5896c71fb10b5c1a430317a0,42
PURE_UBFC,osc_real,42,PURE_UBFC_osc_real_S42_Epoch29.pth,ab6addb54af7a1b927b8e86cea5edabd01e9b3a74fee3106a9ede8fcf66dcb37,12b206dc0150e32d4386fe1e618d27cc3034041b5896c71fb10b5c1a430317a0,42
PURE_UBFC,osc_real,100,PURE_UBFC_osc_real_S100_Epoch29.pth,76f42ca81886fb883b3e394f2a2df90c6aadcdbcd5d0b1af249a951e0d167fb9,12b206dc0150e32d4386fe1e618d27cc3034041b5896c71fb10b5c1a430317a0,42
PURE_UBFC,osc_real,202,PURE_UBFC_osc_real_S202_Epoch29.pth,909a1208369827f0f17516ab4add8b2bebdde01f2763fa00acff79eddebedb10,12b206dc0150e32d4386fe1e618d27cc3034041b5896c71fb10b5c1a430317a0,42
UBFC_PURE,none,42,UBFC_PURE_none_S42_Epoch29.pth,fe46fcb7e230d6cb8c52f6fcdb22ee00d2d48491f2a0bc68137a5c0b711a4427,b734f55dba9679c4c937c8ee98de9f71045a84f753d1a088c1e37265d743c621,59
UBFC_PURE,none,100,UBFC_PURE_none_S100_Epoch29.pth,a197d94807f5a1e353a83ffb112b1000ba7ce95c58809e10d658300ada6f9c57,b734f55dba9679c4c937c8ee98de9f71045a84f753d1a088c1e37265d743c621,59
UBFC_PURE,none,202,UBFC_PURE_none_S202_Epoch29.pth,85e7914d9702c31d018480be64161713ed7c37ac9e6f40a8a698956a5b1ba2e3,b734f55dba9679c4c937c8ee98de9f71045a84f753d1a088c1e37265d743c621,59
UBFC_PURE,osc_real,42,UBFC_PURE_osc_real_S42_Epoch29.pth,45ca18414ea4eb8eccc71268e3dcc1a7ede8ff290421f0d95edf82df3ac69132,b734f55dba9679c4c937c8ee98de9f71045a84f753d1a088c1e37265d743c621,59
UBFC_PURE,osc_real,100,UBFC_PURE_osc_real_S100_Epoch29.pth,7dca34b0d3c56b60fc1a51b54f1c6012a6505a7856e998cfbd2822e2c17eb567,b734f55dba9679c4c937c8ee98de9f71045a84f753d1a088c1e37265d743c621,59
UBFC_PURE,osc_real,202,UBFC_PURE_osc_real_S202_Epoch29.pth,a48d4309918012fc9efd6004661b950a2e5b86fc1234f1718699f4393890d232,b734f55dba9679c4c937c8ee98de9f71045a84f753d1a088c1e37265d743c621,59
